"county","votes","type","name","race"
"Houston","20943","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Irwin","1620","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Jackson","12490","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Jasper","2262","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Jeff Davis","2304","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Jefferson","1444","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Jenkins","1114","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Johnson","1495","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Jones","4865","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Lamar","2708","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Lanier","1277","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Laurens","5538","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Lee","4271","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Liberty","2643","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Lincoln","1436","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Long","1285","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Lowndes","12583","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Lumpkin","5948","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Macon","1021","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Madison","4238","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Marion","780","Advance in Person","BRIAN KEMP  (REP)","Governor"
"McDuffie","3210","Advance in Person","BRIAN KEMP  (REP)","Governor"
"McIntosh","1832","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Meriwether","1761","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Miller","902","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Mitchell","1903","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Monroe","4486","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Montgomery","1088","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Morgan","3885","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Murray","4474","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Muscogee","9363","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Newton","7942","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Oconee","8156","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Oglethorpe","2484","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Paulding","22219","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Peach","3644","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Pickens","6072","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Pierce","4202","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Pike","3870","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Polk","6254","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Pulaski","1910","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Putnam","3572","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Quitman","274","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Rabun","3948","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Randolph","618","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Richmond","7706","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Rockdale","7247","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Schley","1125","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Screven","1763","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Seminole","775","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Spalding","8208","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Stephens","5137","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Stewart","347","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Sumter","2667","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Talbot","354","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Taliaferro","185","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Tattnall","2797","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Taylor","1377","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Telfair","1247","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Terrell","774","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Thomas","5220","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Tift","5724","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Toombs","3943","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Towns","3304","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Treutlen","1173","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Troup","7139","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Turner","1378","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Twiggs","751","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Union","5479","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Upson","4776","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Walker","9224","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Walton","11143","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Ware","3827","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Warren","686","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Washington","2233","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Wayne","4799","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Webster","404","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Wheeler","734","Advance in Person","BRIAN KEMP  (REP)","Governor"
"White","4522","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Whitfield","7094","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Wilcox","925","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Wilkes","1356","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Wilkinson","770","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Worth","2310","Advance in Person","BRIAN KEMP  (REP)","Governor"
"Appling","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Atkinson","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Bacon","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Baker","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Baldwin","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Banks","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Barrow","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Bartow","20","Provisional","BRIAN KEMP  (REP)","Governor"
"Ben Hill","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Berrien","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Bibb","45","Provisional","BRIAN KEMP  (REP)","Governor"
"Bleckley","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Brantley","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Brooks","10","Provisional","BRIAN KEMP  (REP)","Governor"
"Bryan","13","Provisional","BRIAN KEMP  (REP)","Governor"
"Bulloch","63","Provisional","BRIAN KEMP  (REP)","Governor"
"Burke","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Butts","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Calhoun","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Camden","4","Provisional","BRIAN KEMP  (REP)","Governor"
"Candler","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Carroll","68","Provisional","BRIAN KEMP  (REP)","Governor"
"Catoosa","25","Provisional","BRIAN KEMP  (REP)","Governor"
"Charlton","8","Provisional","BRIAN KEMP  (REP)","Governor"
"Chatham","56","Provisional","BRIAN KEMP  (REP)","Governor"
"Chattahoochee","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Chattooga","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Cherokee","78","Provisional","BRIAN KEMP  (REP)","Governor"
"Clarke","4","Provisional","BRIAN KEMP  (REP)","Governor"
"Clay","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Clayton","21","Provisional","BRIAN KEMP  (REP)","Governor"
"Clinch","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Cobb","358","Provisional","BRIAN KEMP  (REP)","Governor"
"Coffee","9","Provisional","BRIAN KEMP  (REP)","Governor"
"Colquitt","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Columbia","27","Provisional","BRIAN KEMP  (REP)","Governor"
"Cook","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Coweta","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Crawford","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Crisp","18","Provisional","BRIAN KEMP  (REP)","Governor"
"Dade","12","Provisional","BRIAN KEMP  (REP)","Governor"
"Dawson","10","Provisional","BRIAN KEMP  (REP)","Governor"
"Decatur","51","Provisional","BRIAN KEMP  (REP)","Governor"
"DeKalb","144","Provisional","BRIAN KEMP  (REP)","Governor"
"Dodge","7","Provisional","BRIAN KEMP  (REP)","Governor"
"Dooly","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Dougherty","9","Provisional","BRIAN KEMP  (REP)","Governor"
"Douglas","11","Provisional","BRIAN KEMP  (REP)","Governor"
"Early","4","Provisional","BRIAN KEMP  (REP)","Governor"
"Echols","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Effingham","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Elbert","30","Provisional","BRIAN KEMP  (REP)","Governor"
"Emanuel","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Evans","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Fannin","13","Provisional","BRIAN KEMP  (REP)","Governor"
"Fayette","17","Provisional","BRIAN KEMP  (REP)","Governor"
"Floyd","79","Provisional","BRIAN KEMP  (REP)","Governor"
"Forsyth","39","Provisional","BRIAN KEMP  (REP)","Governor"
"Franklin","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Fulton","200","Provisional","BRIAN KEMP  (REP)","Governor"
"Gilmer","32","Provisional","BRIAN KEMP  (REP)","Governor"
"Glascock","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Glynn","86","Provisional","BRIAN KEMP  (REP)","Governor"
"Gordon","24","Provisional","BRIAN KEMP  (REP)","Governor"
"Grady","7","Provisional","BRIAN KEMP  (REP)","Governor"
"Greene","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Gwinnett","670","Provisional","BRIAN KEMP  (REP)","Governor"
"Habersham","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Hall","87","Provisional","BRIAN KEMP  (REP)","Governor"
"Hancock","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Haralson","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Harris","11","Provisional","BRIAN KEMP  (REP)","Governor"
"Hart","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Heard","4","Provisional","BRIAN KEMP  (REP)","Governor"
"Henry","54","Provisional","BRIAN KEMP  (REP)","Governor"
"Houston","36","Provisional","BRIAN KEMP  (REP)","Governor"
"Irwin","8","Provisional","BRIAN KEMP  (REP)","Governor"
"Jackson","9","Provisional","BRIAN KEMP  (REP)","Governor"
"Jasper","27","Provisional","BRIAN KEMP  (REP)","Governor"
"Jeff Davis","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Jefferson","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Jenkins","11","Provisional","BRIAN KEMP  (REP)","Governor"
"Johnson","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Jones","6","Provisional","BRIAN KEMP  (REP)","Governor"
"Lamar","10","Provisional","BRIAN KEMP  (REP)","Governor"
"Lanier","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Laurens","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Lee","4","Provisional","BRIAN KEMP  (REP)","Governor"
"Liberty","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Lincoln","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Long","9","Provisional","BRIAN KEMP  (REP)","Governor"
"Lowndes","222","Provisional","BRIAN KEMP  (REP)","Governor"
"Lumpkin","6","Provisional","BRIAN KEMP  (REP)","Governor"
"Macon","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Madison","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Marion","0","Provisional","BRIAN KEMP  (REP)","Governor"
"McDuffie","0","Provisional","BRIAN KEMP  (REP)","Governor"
"McIntosh","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Meriwether","4","Provisional","BRIAN KEMP  (REP)","Governor"
"Miller","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Mitchell","6","Provisional","BRIAN KEMP  (REP)","Governor"
"Monroe","8","Provisional","BRIAN KEMP  (REP)","Governor"
"Montgomery","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Morgan","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Murray","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Muscogee","22","Provisional","BRIAN KEMP  (REP)","Governor"
"Newton","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Oconee","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Oglethorpe","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Paulding","39","Provisional","BRIAN KEMP  (REP)","Governor"
"Peach","25","Provisional","BRIAN KEMP  (REP)","Governor"
"Pickens","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Pierce","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Pike","7","Provisional","BRIAN KEMP  (REP)","Governor"
"Polk","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Pulaski","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Putnam","7","Provisional","BRIAN KEMP  (REP)","Governor"
"Quitman","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Rabun","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Randolph","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Richmond","18","Provisional","BRIAN KEMP  (REP)","Governor"
"Rockdale","10","Provisional","BRIAN KEMP  (REP)","Governor"
"Schley","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Screven","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Seminole","6","Provisional","BRIAN KEMP  (REP)","Governor"
"Spalding","10","Provisional","BRIAN KEMP  (REP)","Governor"
"Stephens","13","Provisional","BRIAN KEMP  (REP)","Governor"
"Stewart","15","Provisional","BRIAN KEMP  (REP)","Governor"
"Sumter","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Talbot","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Taliaferro","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Tattnall","4","Provisional","BRIAN KEMP  (REP)","Governor"
"Taylor","14","Provisional","BRIAN KEMP  (REP)","Governor"
"Telfair","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Terrell","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Thomas","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Tift","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Toombs","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Towns","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Treutlen","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Troup","128","Provisional","BRIAN KEMP  (REP)","Governor"
"Turner","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Twiggs","3","Provisional","BRIAN KEMP  (REP)","Governor"
"Union","2","Provisional","BRIAN KEMP  (REP)","Governor"
"Upson","6","Provisional","BRIAN KEMP  (REP)","Governor"
"Walker","31","Provisional","BRIAN KEMP  (REP)","Governor"
"Walton","33","Provisional","BRIAN KEMP  (REP)","Governor"
"Ware","8","Provisional","BRIAN KEMP  (REP)","Governor"
"Warren","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Washington","4","Provisional","BRIAN KEMP  (REP)","Governor"
"Wayne","6","Provisional","BRIAN KEMP  (REP)","Governor"
"Webster","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Wheeler","3","Provisional","BRIAN KEMP  (REP)","Governor"
"White","5","Provisional","BRIAN KEMP  (REP)","Governor"
"Whitfield","14","Provisional","BRIAN KEMP  (REP)","Governor"
"Wilcox","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Wilkes","0","Provisional","BRIAN KEMP  (REP)","Governor"
"Wilkinson","1","Provisional","BRIAN KEMP  (REP)","Governor"
"Worth","11","Provisional","BRIAN KEMP  (REP)","Governor"
"Appling","630","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Atkinson","333","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Bacon","211","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Baker","254","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Baldwin","3070","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Banks","349","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Barrow","3400","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Bartow","4160","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Ben Hill","671","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Berrien","452","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Bibb","15527","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Bleckley","426","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Brantley","206","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Brooks","1003","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Bryan","1695","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Bulloch","3588","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Burke","2212","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Butts","778","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Calhoun","676","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Camden","2372","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Candler","387","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Carroll","5276","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Catoosa","1860","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Charlton","402","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Chatham","35520","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Chattahoochee","232","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Chattooga","689","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Cherokee","13653","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Clarke","13301","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Clay","303","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Clayton","33744","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Clinch","269","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Cobb","85317","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Coffee","1558","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Colquitt","1493","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Columbia","8803","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Cook","855","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Coweta","7949","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Crawford","513","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Crisp","1048","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Dade","441","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Dawson","543","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Decatur","1791","Election Day","STACEY ABRAMS  (DEM)","Governor"
"DeKalb","112096","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Dodge","822","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Dooly","941","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Dougherty","11753","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Douglas","12827","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Early","1021","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Echols","47","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Effingham","2683","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Elbert","823","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Emanuel","1263","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Evans","426","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Fannin","627","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Fayette","9636","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Floyd","3938","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Forsyth","10564","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Franklin","586","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Fulton","127473","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Gilmer","745","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Glascock","76","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Glynn","4462","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Gordon","1485","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Grady","1227","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Greene","1207","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Gwinnett","83386","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Habersham","794","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Hall","9477","Election Day","STACEY ABRAMS  (DEM)","Governor"
"Hancock","1138","Election Day","STACEY ABRAMS  (DEM)","Governor"
